,TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO
249470,249470,2018-04-27 00:01:01,888,141,50.56,2246461,26,0,0
249471,249471,2018-04-27 00:02:31,3279,3953,29.31,2246551,26,0,0
249472,249472,2018-04-27 00:03:16,3993,450,14.8,2246596,26,0,0
249473,249473,2018-04-27 00:04:28,2849,5257,30.99,2246668,26,0,0
249474,249474,2018-04-27 00:04:49,1487,9755,74.74,2246689,26,0,0
249475,249475,2018-04-27 00:05:23,3719,1320,59.5,2246723,26,0,0
249476,249476,2018-04-27 00:06:15,3533,7559,39.04,2246775,26,0,0
249477,249477,2018-04-27 00:06:37,1912,3426,32.97,2246797,26,0,0
249478,249478,2018-04-27 00:07:02,255,5878,52.13,2246822,26,0,0
249479,249479,2018-04-27 00:07:10,4034,644,96.14,2246830,26,0,0
249480,249480,2018-04-27 00:07:19,2297,3804,11.79,2246839,26,0,0
249481,249481,2018-04-27 00:08:24,4929,872,26.22,2246904,26,0,0
249482,249482,2018-04-27 00:08:34,3800,5356,31.46,2246914,26,0,0
249483,249483,2018-04-27 00:09:02,1688,2426,37.07,2246942,26,0,0
249484,249484,2018-04-27 00:10:32,2629,2825,6.84,2247032,26,0,0
249485,249485,2018-04-27 00:14:07,2658,1119,28.07,2247247,26,0,0
249486,249486,2018-04-27 00:14:18,689,1609,116.97,2247258,26,0,0
249487,249487,2018-04-27 00:15:16,1,5060,36.27,2247316,26,0,0
249488,249488,2018-04-27 00:17:22,3696,1847,33.16,2247442,26,0,0
249489,249489,2018-04-27 00:18:02,1275,7706,14.23,2247482,26,0,0
249490,249490,2018-04-27 00:19:11,968,9070,77.95,2247551,26,0,0
249491,249491,2018-04-27 00:19:15,1723,6174,97.63,2247555,26,0,0
249492,249492,2018-04-27 00:19:41,1962,1076,13.98,2247581,26,0,0
249493,249493,2018-04-27 00:21:08,1222,5268,69.36,2247668,26,0,0
249494,249494,2018-04-27 00:21:29,3324,1284,44.8,2247689,26,0,0
249495,249495,2018-04-27 00:23:45,1463,530,20.87,2247825,26,1,2
249496,249496,2018-04-27 00:24:06,2543,1493,5.36,2247846,26,0,0
249497,249497,2018-04-27 00:25:09,2787,3086,37.83,2247909,26,0,0
249498,249498,2018-04-27 00:25:31,765,3869,104.4,2247931,26,0,0
249499,249499,2018-04-27 00:26:55,942,2940,116.77,2248015,26,0,0
249500,249500,2018-04-27 00:28:36,4443,6528,12.75,2248116,26,0,0
249501,249501,2018-04-27 00:28:51,4607,526,21.33,2248131,26,0,0
249502,249502,2018-04-27 00:29:09,3572,7458,87.29,2248149,26,0,0
249503,249503,2018-04-27 00:29:17,1368,5244,60.06,2248157,26,0,0
249504,249504,2018-04-27 00:30:03,1070,9962,12.39,2248203,26,0,0
