,TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO
0,0,2018-04-01 00:00:31,596,3156,57.16,31,0,0,0
1,1,2018-04-01 00:02:10,4961,3412,81.51,130,0,0,0
2,2,2018-04-01 00:07:56,2,1365,146.0,476,0,0,0
3,3,2018-04-01 00:09:29,4128,8737,64.49,569,0,0,0
4,4,2018-04-01 00:10:34,927,9906,50.99,634,0,0,0
5,5,2018-04-01 00:10:45,568,8803,44.71,645,0,0,0
6,6,2018-04-01 00:11:30,2803,5490,96.03,690,0,0,0
7,7,2018-04-01 00:11:44,4684,2486,24.36,704,0,0,0
8,8,2018-04-01 00:11:53,4128,8354,26.34,713,0,0,0
9,9,2018-04-01 00:13:44,541,6212,59.07,824,0,0,0
10,10,2018-04-01 00:16:59,4554,2198,58.06,1019,0,0,0
11,11,2018-04-01 00:17:44,2000,7997,66.38,1064,0,0,0
12,12,2018-04-01 00:18:01,1948,3372,54.51,1081,0,0,0
13,13,2018-04-01 00:19:22,2938,1516,22.0,1162,0,0,0
14,14,2018-04-01 00:19:49,2989,4111,28.42,1189,0,0,0
15,15,2018-04-01 00:20:03,3842,1693,26.23,1203,0,0,0
16,16,2018-04-01 00:20:25,4361,4322,92.69,1225,0,0,0
17,17,2018-04-01 00:20:40,4177,6270,65.15,1240,0,0,0
18,18,2018-04-01 00:20:48,3700,471,87.38,1248,0,0,0
19,19,2018-04-01 00:21:06,3671,4223,68.98,1266,0,0,0
20,20,2018-04-01 00:21:09,1270,931,140.75,1269,0,0,0
21,21,2018-04-01 00:22:14,2899,6019,36.58,1334,0,0,0
22,22,2018-04-01 00:23:32,4582,7998,48.3,1412,0,0,0
23,23,2018-04-01 00:25:24,508,9687,139.45,1524,0,0,0
24,24,2018-04-01 00:26:37,2323,1257,63.19,1597,0,0,0
25,25,2018-04-01 00:26:54,1152,8621,54.08,1614,0,0,0
26,26,2018-04-01 00:27:02,2389,9739,36.91,1622,0,0,0
27,27,2018-04-01 00:27:27,967,9401,74.32,1647,0,0,0
28,28,2018-04-01 00:28:07,616,7758,12.18,1687,0,0,0
29,29,2018-04-01 00:28:12,4205,2288,69.66,1692,0,0,0
30,30,2018-04-01 00:29:05,1106,1317,8.75,1745,0,0,0
31,31,2018-04-01 00:29:47,2605,6231,38.31,1787,0,0,0
32,32,2018-04-01 00:30:05,360,1611,92.74,1805,0,0,0
33,33,2018-04-01 00:30:45,4052,3260,5.69,1845,0,0,0
34,34,2018-04-01 00:31:27,3944,2696,75.0,1887,0,0,0
35,35,2018-04-01 00:31:51,1753,8676,115.78,1911,0,0,0
36,36,2018-04-01 00:32:35,183,4972,39.3,1955,0,0,0
37,37,2018-04-01 00:32:53,4563,4309,31.18,1973,0,0,0
38,38,2018-04-01 00:33:22,1546,2897,37.39,2002,0,0,0
39,39,2018-04-01 00:33:56,4691,3227,44.81,2036,0,0,0
40,40,2018-04-01 00:33:57,4613,4971,33.95,2037,0,0,0
41,41,2018-04-01 00:34:14,3445,7820,36.7,2054,0,0,0
42,42,2018-04-01 00:34:29,731,9969,53.55,2069,0,0,0
43,43,2018-04-01 00:34:45,3425,2930,119.56,2085,0,0,0
44,44,2018-04-01 00:36:18,2916,1315,16.48,2178,0,0,0
46,46,2018-04-01 00:36:39,2033,2061,48.03,2199,0,0,0
45,45,2018-04-01 00:36:39,855,4297,78.32,2199,0,0,0
47,47,2018-04-01 00:37:06,4999,3885,38.41,2226,0,0,0
48,48,2018-04-01 00:37:45,1660,1562,43.52,2265,0,0,0
49,49,2018-04-01 00:38:22,4853,1417,10.8,2302,0,0,0
50,50,2018-04-01 00:38:40,4489,4112,130.35,2320,0,0,0
51,51,2018-04-01 00:38:55,4710,511,12.48,2335,0,0,0
52,52,2018-04-01 00:39:10,4106,4930,83.65,2350,0,0,0
53,53,2018-04-01 00:40:12,935,7005,8.37,2412,0,0,0
54,54,2018-04-01 00:43:00,4143,6255,59.27,2580,0,0,0
55,55,2018-04-01 00:43:59,382,2079,15.35,2639,0,0,0
56,56,2018-04-01 00:44:14,2594,5446,71.91,2654,0,0,0
57,57,2018-04-01 00:44:20,4465,8405,34.56,2660,0,0,0
58,58,2018-04-01 00:45:46,3765,8705,20.8,2746,0,0,0
59,59,2018-04-01 00:45:51,381,7869,23.15,2751,0,0,0
60,60,2018-04-01 00:46:39,1380,8113,4.56,2799,0,0,0
61,61,2018-04-01 00:47:24,3431,7795,56.14,2844,0,0,0
62,62,2018-04-01 00:47:48,3873,1273,18.93,2868,0,0,0
63,63,2018-04-01 00:48:13,2798,8688,76.93,2893,0,0,0
64,64,2018-04-01 00:48:26,4401,1409,24.08,2906,0,0,0
65,65,2018-04-01 00:48:27,1181,6730,56.48,2907,0,0,0
66,66,2018-04-01 00:49:01,4044,6763,96.71,2941,0,0,0
67,67,2018-04-01 00:50:02,1525,3736,70.01,3002,0,0,0
68,68,2018-04-01 00:50:33,2373,5821,25.99,3033,0,0,0
69,69,2018-04-01 00:51:19,4235,3352,24.91,3079,0,0,0
70,70,2018-04-01 00:51:21,712,6214,20.25,3081,0,0,0
71,71,2018-04-01 00:51:33,1597,4721,83.07,3093,0,0,0
72,72,2018-04-01 00:51:48,1186,3592,124.86,3108,0,0,0
73,73,2018-04-01 00:52:16,2109,5559,68.86,3136,0,0,0
