,TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO
114978,114978,2018-04-13 00:00:13,3192,8506,87.62,1036813,12,0,0
114979,114979,2018-04-13 00:02:07,4731,8755,28.33,1036927,12,0,0
114980,114980,2018-04-13 00:02:19,714,1443,107.03,1036939,12,0,0
114981,114981,2018-04-13 00:03:00,718,4363,91.9,1036980,12,0,0
114982,114982,2018-04-13 00:03:15,4879,1356,71.77,1036995,12,0,0
114983,114983,2018-04-13 00:03:41,2141,1076,22.52,1037021,12,0,0
114984,114984,2018-04-13 00:04:21,471,4324,19.92,1037061,12,0,0
114985,114985,2018-04-13 00:05:21,1906,708,41.01,1037121,12,0,0
114986,114986,2018-04-13 00:06:37,2305,2324,47.58,1037197,12,0,0
114987,114987,2018-04-13 00:07:12,2035,9868,35.98,1037232,12,0,0
114988,114988,2018-04-13 00:07:15,1522,919,5.65,1037235,12,0,0
114989,114989,2018-04-13 00:07:52,4642,5487,0.72,1037272,12,0,0
114990,114990,2018-04-13 00:08:11,3149,6949,92.36,1037291,12,0,0
114991,114991,2018-04-13 00:08:37,4113,6868,28.03,1037317,12,0,0
114992,114992,2018-04-13 00:08:42,2221,3124,18.26,1037322,12,0,0
114993,114993,2018-04-13 00:11:31,2114,2269,56.86,1037491,12,0,0
114994,114994,2018-04-13 00:12:32,1884,621,110.72,1037552,12,0,0
114995,114995,2018-04-13 00:12:34,2805,8083,147.02,1037554,12,0,0
114996,114996,2018-04-13 00:12:50,927,8695,55.43,1037570,12,0,0
114997,114997,2018-04-13 00:13:27,3994,2080,93.02,1037607,12,0,0
114998,114998,2018-04-13 00:13:33,3433,7307,49.32,1037613,12,0,0
114999,114999,2018-04-13 00:14:11,1386,7777,56.22,1037651,12,0,0
115000,115000,2018-04-13 00:14:35,2992,3180,71.88,1037675,12,0,0
115001,115001,2018-04-13 00:15:26,1967,6434,41.23,1037726,12,0,0
115002,115002,2018-04-13 00:16:44,4849,9824,95.18,1037804,12,0,0
115003,115003,2018-04-13 00:16:59,1380,1965,7.76,1037819,12,0,0
115004,115004,2018-04-13 00:17:40,3335,3788,96.35,1037860,12,0,0
115005,115005,2018-04-13 00:18:57,4131,8992,96.61,1037937,12,0,0
115006,115006,2018-04-13 00:19:38,3272,4115,11.95,1037978,12,0,0
115007,115007,2018-04-13 00:20:21,913,1866,68.61,1038021,12,0,0
115008,115008,2018-04-13 00:21:30,3870,1919,26.65,1038090,12,0,0
115009,115009,2018-04-13 00:22:06,1096,5879,30.89,1038126,12,0,0
115010,115010,2018-04-13 00:22:07,3101,8093,28.3,1038127,12,0,0
115011,115011,2018-04-13 00:22:11,4535,9074,55.81,1038131,12,0,0
115012,115012,2018-04-13 00:23:00,648,634,7.06,1038180,12,0,0
115013,115013,2018-04-13 00:24:03,1924,4543,98.34,1038243,12,0,0
115014,115014,2018-04-13 00:24:51,778,6,44.54,1038291,12,0,0
115015,115015,2018-04-13 00:25:44,1651,9839,13.68,1038344,12,0,0
115016,115016,2018-04-13 00:26:17,1762,4660,9.31,1038377,12,0,0
115017,115017,2018-04-13 00:26:19,4422,2748,81.43,1038379,12,0,0
115018,115018,2018-04-13 00:28:37,1902,6798,2.58,1038517,12,0,0
